"","X.","claim_status","video_id","video_duration_sec","video_transcription_text","verified_status","author_ban_status","video_view_count","video_like_count","video_share_count","video_download_count","video_comment_count","duration_category","engagement_rate","user_name","video_length","n_shares","n_comments","n_plays","hashtags","song"
"112",7696,"claim",4513887147,41,"someone read a report mentioning that the longest recorded tennis match lasted for 11 hours","not verified","active","729847",92800,"36698","1188","272","Medium",0.127522617754132,"hollyh",13,120,772,455500,"[]","I Write Watermelons Not Sugar by DJ Cummerbund"
"113",7696,"claim",4513887147,41,"someone read a report mentioning that the longest recorded tennis match lasted for 11 hours","not verified","active","729847",92800,"36698","1188","272","Medium",0.127522617754132,"vivekkeshari1",16,3472,708,622400,"['edutokmotivation', 'edutok', 'motivation', 'vivekkeshari', 'vivekkibaatein', 'storysunao', 'myvoice']","original sound"
"114",8011,"claim",7723367691,30,"i read a story claiming that london, england has the world's oldest subway system","not verified","active","767505",329700,"9083","4108","623","Medium",0.4303854698015,"babyariel",11,183,1291,2000000,"['duet']","original sound"
"115",8185,"claim",7037324125,10,"i discovered a story mentioning that redwoods are the tallest trees","not verified","active","592275",205800,"35323","4397","2020","Short",0.350884302055633,"jeleniewska",10,369,1133,1300000,"['trend']","Tampa Curhat Beat"
"116",8212,"claim",4492182094,10,"i discovered a story claiming that new zealanders have more pets per household than any other country","not verified","active","761054",408700,"141799","9619","5740","Short",0.544560569946416,"jasoncoffee",22,1202,1238,1900000,"[]","Empty"
"117",8212,"claim",4492182094,10,"i discovered a story claiming that new zealanders have more pets per household than any other country","not verified","active","761054",408700,"141799","9619","5740","Short",0.544560569946416,"dannapaola",11,1219,1320,3300000,"['FRieNdDeSemAnA']","Friend De Semana"
"118",8212,"claim",4492182094,10,"i discovered a story claiming that new zealanders have more pets per household than any other country","not verified","active","761054",408700,"141799","9619","5740","Short",0.544560569946416,"dtay.known",59,1387,1512,4300000,"['comedy']","original sound"
"119",8301,"claim",5616164803,5,"a colleague read an article claiming that the bent joint in the legs of the flamingo is its ankles","not verified","active","470363",175500,"68274","3302","1769","Short",0.376877007757838,"bhartifrozen",15,414,907,2100000,"['missing', 'backstagemasti', 'love', 'bff', 'blessed', 'stayhome', 'funnyvideos', 'quarantine']","MERE DHOLNA"
"120",8553,"claim",6569870400,19,"a friend discovered on the news that a snail can sleep for three years","not verified","active","34635",23000,"4615","541","301","Medium",0.672758770030316,"alexcasasvz",19,23,552,88700,"[]","sonido original"
"121",9113,"claim",9489317159,53,"i discovered on the news a claim that it rains diamonds on jupiter and saturn","not verified","active","871452",195200,"70898","968","380","Medium",0.22443003171718,"kylethomas",29,336,3487,1300000,"[]","original sound"
"122",9113,"claim",9489317159,53,"i discovered on the news a claim that it rains diamonds on jupiter and saturn","not verified","active","871452",195200,"70898","968","380","Medium",0.22443003171718,"officialsalicerose",5,3094,1272,1200000,"[]","Man How The f"
"123",9113,"claim",9489317159,53,"i discovered on the news a claim that it rains diamonds on jupiter and saturn","not verified","active","871452",195200,"70898","968","380","Medium",0.22443003171718,"skyandtami",11,202,588,884800,"[]","Chris Brown - Take You Down (Remix)"
"124",9113,"claim",9489317159,53,"i discovered on the news a claim that it rains diamonds on jupiter and saturn","not verified","active","871452",195200,"70898","968","380","Medium",0.22443003171718,"benazelart",12,842,1856,784400,"[]","It's Beginning to Look a Lot Like Christmas - Perry Como & The Fontane Sisters"
"125",9183,"claim",3688184299,46,"i discovered on tv a claim that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide","not verified","active","632847",375300,"100834","3074","1801","Medium",0.595880204852042,"_saloniyaapa",13,1366,1085,4000000,"['zoommyface']","Hulara-Ishara Akh Da"
"126",9183,"claim",3688184299,46,"i discovered on tv a claim that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide","not verified","active","632847",375300,"100834","3074","1801","Medium",0.595880204852042,"sunny_kalra55",56,1513,344,2900000,"['foryoupage', 'foryou', 'fyp', 'stayhome', 'gharbaithoindia', 'madgang', 'vr1']","original sound"
"127",9183,"claim",3688184299,46,"i discovered on tv a claim that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide","not verified","active","632847",375300,"100834","3074","1801","Medium",0.595880204852042,"benjikrol",20,880,3628,1700000,"[]","original sound"
"128",9405,"claim",2785645374,59,"a colleague discovered on the news a claim that leeches were historically used to predict the weather","verified","active","19842",9367,"2","43","2","Medium",0.472180223767765,"mridulmadhok",40,159,109,116000,"['budgetfriendly', 'pimples', 'hatepimples', 'mridulmadhok', 'edutok', 'edutoklifetips']","original sound"
"129",9439,"claim",4202372328,36,"a colleague discovered on tv that the bent joint in the legs of the flamingo is its ankles","not verified","active","83144",47400,"16689","797","369","Medium",0.574533339747907,"gima_ashi",14,268,583,528300,"['gimaashi', 'rugima', 'foryou', 'trending']","neww haryanvi mashup 2 akash dixit"
"130",9439,"claim",4202372328,36,"a colleague discovered on tv that the bent joint in the legs of the flamingo is its ankles","not verified","active","83144",47400,"16689","797","369","Medium",0.574533339747907,"mohak.narang",21,402,590,378900,"['mohakfam', 'Sohak']","original sound"
"131",9439,"claim",4202372328,36,"a colleague discovered on tv that the bent joint in the legs of the flamingo is its ankles","not verified","active","83144",47400,"16689","797","369","Medium",0.574533339747907,"nba",5,76,159,335000,"['BESTofNBARestart', 'nba', 'highlight']","original sound"
"132",9439,"claim",4202372328,36,"a colleague discovered on tv that the bent joint in the legs of the flamingo is its ankles","not verified","active","83144",47400,"16689","797","369","Medium",0.574533339747907,"deepikapilli",14,463,304,1000000,"['foryoupage', 'danceindia', 'foryou', 'trending']","KDMDj SAGAR"
"133",9439,"claim",4202372328,36,"a colleague discovered on tv that the bent joint in the legs of the flamingo is its ankles","not verified","active","83144",47400,"16689","797","369","Medium",0.574533339747907,"mirandasings",27,80,821,294300,"[]","you should see me in a crown"
"134",9578,"claim",3018668972,57,"a colleague discovered on the radio a claim that 90% of drivers admit to singing in the car","not verified","active","350481",178900,"65563","1972","164","Medium",0.510909293228449,"joeyklaasen",11,452,1098,841600,"[]","Whole Lotta Choppas"
"135",9578,"claim",3018668972,57,"a colleague discovered on the radio a claim that 90% of drivers admit to singing in the car","not verified","active","350481",178900,"65563","1972","164","Medium",0.510909293228449,"beingshadabkhan",21,778,1196,1100000,"['kingofmillionsk', 'bawal27', 'humanity', 'indian']","original sound"
"136",9867,"opinion",4645297334,27,"i understand that cactus spines can be used to make hooks","verified","active","5140",355,"98","7","2","Medium",0.0694552529182879,"aydonholley",10,0,52,1461,"[]","Eternal Youth"
"137",9930,"opinion",7481484147,55,"i feel that the volcano olympus mons on mars is over 3 times taller than mount everest","not verified","active","6229",1907,"710","30","7","Medium",0.307272435382887,"nickelodeon",18,4,53,15200,"['POV', 'theastronauts', 'dance', 'tvshow']","original sound"
"138",10697,"opinion",2893475482,10,"my friends feel that the automotive industry employs about 9.9 million americans","verified","active","7411",355,"113","3","1","Short",0.0480367021994333,"aydonholley",10,0,52,1461,"[]","Eternal Youth"
"139",10880,"opinion",4410582534,45,"my colleagues think that the chicken is the closest relative to the t-rex","not verified","active","917",355,"37","4","1","Medium",0.388222464558342,"aydonholley",10,0,52,1461,"[]","Eternal Youth"
"140",12588,"opinion",7270721085,5,"our thinking is that it snows in the sahara desert","not verified","active","8848",3478,"540","79","31","Short",0.396586799276673,"thecardguy",52,1,173,17600,"[]","original sound"
"141",13573,"opinion",3029283153,52,"my friends' view is that starting in 1990, american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years","not verified","active","5705",1549,"171","18","1","Medium",0.271691498685364,"jiffpom",9,3,90,9645,"[]","어떤 별보다"
"142",13888,"opinion",7270668038,26,"my friends' understanding is that there are more stars in the universe than grains of sand on earth","verified","active","9545",4211,"1061","95","4","Medium",0.441592456783656,"mridulmadhok",36,18,65,81800,"['unhealthyfood', 'itsafact', 'dietplan', 'mridulmadhok', 'edutok', 'edutoklifetips']","original sound"
"143",13902,"opinion",9309511292,53,"my friends' understanding is that at birth, baby pandas are smaller than mice","not verified","active","959",355,"141","3","1","Medium",0.371220020855057,"aydonholley",10,0,52,1461,"[]","Eternal Youth"
"144",14375,"opinion",9833508552,20,"my friends' reasoning is that some ants can lift up to 20 times their own body weight","not verified","active","6661",2623,"226","39","2","Medium",0.394084972226392,"nickelodeon",10,2,87,15000,"['henrydanger', 'dangerforce', 'morph', 'perfectloop', 'kiddanger', 'glowup', 'jacenorman']","ASMR Henry Danger Theme Song"
"145",14397,"opinion",7474633300,28,"my friends' reasoning is that millions of trees are estimated to be planted by squirrels that forgot their buried nuts","not verified","active","4920",1549,"270","10","4","Medium",0.315650406504065,"jiffpom",9,3,90,9645,"[]","어떤 별보다"
"146",14585,"opinion",3258472350,7,"my friends' hypothesis is that the people who are currently alive are only 7% of the total number of people who have ever lived","not verified","active","2672",355,"40","4","1","Short",0.133233532934132,"aydonholley",10,0,52,1461,"[]","Eternal Youth"
"147",14851,"opinion",3498449461,14,"my family's opinion is that the first cruise ship set sail in 1900","not verified","active","5544",355,"52","6","1","Short",0.0642135642135642,"aydonholley",10,0,52,1461,"[]","Eternal Youth"
"148",16397,"opinion",5235829749,19,"my colleagues' impression is that sea otters are born unable to swim","not verified","active","8640",3478,"903","7","1","Medium",0.402662037037037,"thecardguy",52,1,173,17600,"[]","original sound"
"149",17774,"opinion",9146170572,45,"my friends are willing to wager that the car radio was first introduced in 1922","not verified","active","1363",355,"95","4","2","Medium",0.261922230374175,"aydonholley",10,0,52,1461,"[]","Eternal Youth"
"150",18332,"opinion",8186655586,24,"my colleagues are willing to wager that more businesses will be owned by women than men by 2045","verified","active","9557",3478,"1276","72","6","Medium",0.364549544836246,"thecardguy",52,1,173,17600,"[]","original sound"
"151",18939,"opinion",1617895715,15,"in my opinion people are born with only 2 natural fears: the fear of falling and the fear of loud sounds","not verified","active","9782",355,"3","3","1","Medium",0.0363933755878144,"aydonholley",10,0,52,1461,"[]","Eternal Youth"
